year,au
1950,8.262718e-06
1951,2.5935287e-06
1952,3.2914645e-06
1953,2.1786277e-06
1954,3.970373e-06
1955,3.0999527e-06
1956,2.6580017e-06
1957,2.140169e-06
1958,4.4126023e-06
1959,5.39719e-06
1960,5.0758013e-06
1961,5.991993e-06
1962,3.9358893e-06
1963,4.5079887e-06
1964,6.776934e-06
1965,3.6338936e-06
1966,4.5046118e-06
1967,2.5253062e-06
1968,1.93399e-06
1969,4.165301e-06
1970,6.089868e-06
1971,4.427312e-06
1972,3.8147446e-06
1973,8.636539e-06
1974,6.7179553e-06
1975,9.521931e-06
1976,6.74779e-06
1977,4.7929766e-06
1978,6.815295e-06
1979,5.0251306e-06
1980,4.2146576e-06
1981,5.9270324e-06
1982,2.6773473e-06
1983,9.612307e-06
1984,8.906284e-06
1985,1.0500123e-05
1986,8.444624e-06
1987,6.9949806e-06
1988,6.0690913e-06
1989,6.7188707e-06
1990,3.2333935e-06
1991,4.2597476e-06
1992,7.0981864e-06
1993,5.485821e-06
1994,3.91218e-06
1995,7.0909714e-06
1996,6.4579126e-06
1997,7.206074e-06
1998,1.4016311e-05
1999,1.0654343e-05
2000,1.27894355e-05
2001,7.957572e-06
2002,3.1500388e-06
2003,3.8305375e-06
2004,4.2673173e-06
2005,6.7877922e-06
2006,3.3355489e-06
2007,7.5054713e-06
2008,9.423741e-06
2009,5.7066045e-06
2010,1.5939639e-05
2011,8.73816e-06
2012,4.583249e-06
2013,7.330647e-06
2014,5.7149678e-06
2015,5.8450564e-06
2016,8.9459045e-06
2017,1.0370796e-05
2018,7.931344e-06
2019,3.40171e-06
