year,enso
1950,25.358454
1951,25.413334
1952,26.773333
1953,26.65
1954,27.003334
1955,25.56
1956,25.223333
1957,26.096666
1958,28.156666
1959,26.956667
1960,26.246666
1961,26.336666
1962,26.04
1963,25.886667
1964,27.363333
1965,25.693333
1966,27.726667
1967,26.006666
1968,25.773333
1969,27.543333
1970,26.92
1971,25.086666
1972,25.763334
1973,28.326666
1974,24.63
1975,25.93
1976,24.9
1977,27.18
1978,27.153334
1979,26.493334
1980,27.053333
1981,26.313334
1982,26.553333
1983,28.793333
1984,26.003334
1985,25.553333
1986,26.043333
1987,27.76
1988,27.34
1989,24.83
1990,26.66
1991,27.016666
1992,28.4
1993,26.763334
1994,26.736666
1995,27.636667
1996,25.743334
1997,26.113333
1998,28.866667
1999,25.066668
2000,24.95
2001,25.87
2002,26.43
2003,27.503334
2004,26.94
2005,27.22
2006,25.796667
2007,27.286667
2008,24.983334
2009,25.786667
2010,28.14
2011,25.213333
2012,25.763334
2013,26.196667
2014,26.206667
2015,27.176666
2016,29.126667
2017,26.296667
2018,25.72
2019,27.38
