year,nh_spv_uwnd
1950,26.71121179184122
1951,34.6599809159894
1952,22.194731092334646
1953,31.595642292829424
1954,25.145869369017074
1955,25.192950088627327
1956,37.97980602194986
1957,20.567341893940235
1958,16.669979587142496
1959,28.461082552447873
1960,23.019782510748957
1961,20.942621509084233
1962,34.062471878387235
1963,22.9414495219809
1964,28.968070965098335
1965,30.83868477652904
1966,19.141137896998295
1967,43.059783191973
1968,22.761127662015085
1969,19.35426890528736
1970,11.481237507054287
1971,12.015399638536882
1972,28.966963136007475
1973,16.13105040076854
1974,29.98543951625371
1975,16.19352432186589
1976,44.13256008876467
1977,15.961265576600155
1978,18.789222261808682
1979,19.73971026141435
1980,23.068255202045616
1981,20.844254436408583
1982,29.335171455615267
1983,25.44478482479769
1984,21.743860507785016
1985,11.117819086812531
1986,27.246741508426208
1987,5.151711135334643
1988,31.7086970182818
1989,25.453052032519995
1990,32.96593634832694
1991,18.706983556595546
1992,17.58735971906208
1993,30.24572256929842
1994,29.93453216700324
1995,23.022972904116585
1996,32.729362134706065
1997,44.3646139531734
1998,17.711912422133693
1999,14.495891493297677
2000,33.754232014192624
2001,12.953885792429075
2002,12.20280710093967
2003,17.051531376168004
2004,12.607091623174957
2005,25.895620063503387
2006,5.855810478895815
2007,29.341157260812214
2008,18.914594777503527
2009,12.142275681528387
2010,9.348866669153862
2011,42.97386178210752
2012,17.773786709337315
2013,12.410172081369458
2014,23.2245003111511
2015,28.17887354970044
2016,19.79425474837009
2017,19.694976497003662
2018,14.499666463091268
2019,18.747725112586043
