year_of_jja,dk_precip_jja
1950,2.8605267e-05
1951,2.6498006e-05
1952,2.5371166e-05
1953,3.9283146e-05
1954,3.624872e-05
1955,2.416778e-05
1956,3.0772913e-05
1957,2.8834822e-05
1958,3.1250518e-05
1959,2.1156075e-05
1960,3.4645345e-05
1961,3.161891e-05
1962,3.169672e-05
1963,3.723683e-05
1964,3.1943124e-05
1965,3.4564164e-05
1966,3.655726e-05
1967,2.6240425e-05
1968,3.020707e-05
1969,2.212487e-05
1970,2.29134e-05
1971,2.4296789e-05
1972,2.2518636e-05
1973,2.2958508e-05
1974,3.1306976e-05
1975,2.2330663e-05
1976,1.2724292e-05
1977,2.8479253e-05
1978,2.9849343e-05
1979,2.468662e-05
1980,3.705768e-05
1981,2.5672485e-05
1982,3.0235478e-05
1983,1.32172745e-05
1984,1.919064e-05
1985,3.0153988e-05
1986,2.5846453e-05
1987,3.25732e-05
1988,3.3497912e-05
1989,2.468131e-05
1990,2.5098156e-05
1991,2.4878034e-05
1992,2.2541675e-05
1993,2.1890684e-05
1994,1.57538e-05
1995,1.6167676e-05
1996,1.8633273e-05
1997,2.446141e-05
1998,3.003896e-05
1999,2.4529663e-05
2000,2.3015038e-05
2001,2.7165665e-05
2002,2.9286695e-05
2003,2.1187847e-05
2004,3.4307035e-05
2005,2.2038164e-05
2006,3.1309613e-05
2007,3.8707993e-05
2008,3.1733107e-05
2009,3.0459692e-05
2010,2.5588157e-05
2011,3.1654068e-05
2012,3.0636784e-05
2013,1.8981178e-05
2014,3.606201e-05
2015,2.4038683e-05
2016,3.153384e-05
2017,3.0483592e-05
2018,2.2307437e-05
2019,3.0268202e-05
