year_of_jja,med_precip_jja
1950,4.174482e-06
1951,5.0649364e-06
1952,3.8973553e-06
1953,8.2943925e-06
1954,2.7767142e-06
1955,7.669618e-06
1956,3.4533819e-06
1957,5.1330658e-06
1958,6.0181405e-06
1959,1.2190529e-05
1960,5.0795397e-06
1961,7.5918874e-06
1962,4.529415e-06
1963,7.4910117e-06
1964,1.4043654e-05
1965,4.907376e-06
1966,8.553214e-06
1967,6.255831e-06
1968,6.469644e-06
1969,5.624743e-06
1970,4.190336e-06
1971,4.644775e-06
1972,1.2097116e-05
1973,7.8889525e-06
1974,6.3625434e-06
1975,1.2817687e-05
1976,1.3684403e-05
1977,4.508685e-06
1978,2.8357276e-06
1979,8.227616e-06
1980,3.8301628e-06
1981,3.5432163e-06
1982,4.369395e-06
1983,1.1602871e-05
1984,3.6755594e-06
1985,3.5867754e-06
1986,9.103916e-06
1987,4.4528374e-06
1988,3.1679215e-06
1989,7.5000785e-06
1990,4.5460215e-06
1991,4.0092414e-06
1992,7.9413085e-06
1993,2.6147761e-06
1994,4.8795055e-06
1995,1.1970158e-05
1996,3.2926582e-06
1997,6.6062034e-06
1998,4.4728695e-06
1999,1.2523042e-05
2000,2.8734646e-06
2001,3.3287665e-06
2002,1.440903e-05
2003,4.966735e-06
2004,6.1317105e-06
2005,7.862161e-06
2006,1.2161108e-05
2007,5.0289364e-06
2008,3.1134837e-06
2009,7.3336887e-06
2010,6.842885e-06
2011,6.208274e-06
2012,3.9482993e-06
2013,6.7551455e-06
2014,9.295755e-06
2015,1.281167e-05
2016,6.770041e-06
2017,5.7623124e-06
2018,2.2066723e-05
2019,7.61157e-06
