year,ural_slp
1950,1024.077895756138
1951,1017.3892910206092
1952,1024.1899334077477
1953,1020.8947415811934
1954,1023.2277803091071
1955,1016.5046493472395
1956,1018.9746307350888
1957,1014.6588854365572
1958,1018.6173921637072
1959,1023.9095900899407
1960,1021.4186892959688
1961,1019.0616636423474
1962,1019.3060282398264
1963,1015.502523364582
1964,1018.7098733883095
1965,1017.6681047101656
1966,1025.637440486263
1967,1019.3232627219636
1968,1020.4519515217075
1969,1019.423954667567
1970,1018.0672739126156
1971,1015.3745096228757
1972,1018.2005725187622
1973,1014.5686995298219
1974,1023.2609887064751
1975,1016.395099965641
1976,1023.2433381044066
1977,1017.1848030813308
1978,1013.4103054241863
1979,1019.2617290392219
1980,1017.1402113949295
1981,1021.6420878879499
1982,1017.3336438184803
1983,1013.6811130632717
1984,1023.3545277124936
1985,1017.9093760604022
1986,1018.7136350942311
1987,1021.7168866930266
1988,1014.999358263752
1989,1015.5134374418718
1990,1016.5831347890718
1991,1018.8628237446009
1992,1017.2785202653035
1993,1023.4438080826832
1994,1018.0810406963855
1995,1015.7374533418257
1996,1020.9204075439831
1997,1018.5509486157098
1998,1018.9483334657222
1999,1017.9216390700809
2000,1023.5471442005642
2001,1019.1610966240754
2002,1019.4965964197492
2003,1018.8054444418954
2004,1016.8892187883584
2005,1021.4874383693265
2006,1016.7262905732396
2007,1019.918176138127
2008,1019.7503493411783
2009,1021.3580488101667
2010,1018.1528023479965
2011,1017.9030441814775
2012,1022.1715733165956
2013,1015.2190087988707
2014,1019.6402929124048
2015,1015.8460971071744
2016,1021.7384592411316
2017,1019.4528960133567
2018,1020.8893932332961
2019,1018.8647472698908
